id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
160,agustus,BPJS KIS PBI,SKH,2359,14154000,potensial
161,september,BPJS KESEHATAN,SKH,1434,9351000,potensial
162,september,BLBI ABIYOSO,PPKH,793,57115000,potensial
163,september,BPKP JABAR,SKH,308,3638000,potensial
164,september,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
165,september,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
166,september,BPJS KETENAGAKERJAAN,SKH,46,529500,tidak
167,september,KPP PRATAMA SOREANG,SKH,7627,39022500,potensial
168,september,KPP PRATAMA CIMAHI,SKH,24553,173008003,potensial
169,september,ULTRAJAYA MILK INDUSTRY,SKH,609,21156000,potensial
170,september,BALAI DIKLAT KEUANGAN,EXP CORPORATE,43,1158000,tidak
171,september,SINAR CONTINENTAL,EXP CORPORATE,194,6783097,potensial
172,september,FAMILY ONLINE SHOP,EXP CORPORATE,327,10529301,potensial
173,september,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,460,570650000,potensial
174,september,PERIJINAN PEMKAB BANDUNG,SKH,43,452500,tidak
175,september,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
176,september,WOM FINANCE,SKH,86,484000,tidak
177,september,ADIRA DINAMIKA FINANCE,SKH,3,45000,tidak
178,september,BPKAD,SKH,0,0,tidak
179,september,BAPENDA,SKH,250,16625500,potensial
180,september,PD ANANG,LOGISTIK,4,609700,tidak
181,september,BPJS KIS PBI,SKH,0,0,tidak
182,oktober,BPJS KESEHATAN,SKH,896,582000,potensial
183,oktober,BLBI ABIYOSO,PPKH,1150,51330000,potensial
184,oktober,BPKP JABAR,SKH,225,2328000,tidak
185,oktober,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
186,oktober,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
187,oktober,BPJS KETENAGAKERJAAN,SKH,165,1250500,tidak
188,oktober,KPP PRATAMA SOREANG,SKH,5500,26356500,potensial
189,oktober,KPP PRATAMA CIMAHI,SKH,11216,72890500,potensial
190,oktober,ULTRAJAYA MILK INDUSTRY,SKH,404,18125000,potensial
191,oktober,BALAI DIKLAT KEUANGAN,EXP CORPORATE,2,58500,tidak
192,oktober,SINAR CONTINENTAL,EXP CORPORATE,151,5342000,tidak
193,oktober,FAMILY ONLINE SHOP,EXP CORPORATE,142,1996300,tidak
194,oktober,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,466,608373500,potensial
195,oktober,PERIJINAN PEMKAB BANDUNG,SKH,39,395500,tidak
196,oktober,COD BUNDA JAYA,EXP CORPORATE,0,0,tidak
197,oktober,WOM FINANCE,SKH,134,846000,tidak
198,oktober,ADIRA DINAMIKA FINANCE,SKH,5,225000,tidak
199,oktober,BPKAD,SKH,0,0,tidak
200,oktober,BAPENDA,SKH,74,1247500,tidak
201,oktober,PD ANANG,LOGISTIK,0,0,tidak
202,oktober,BPJS KIS PBI,SKH,0,0,tidak
