id_dataset,bulan,perusahaan,jenis,jumlah,total,potensial
135,april,BPKP JABAR,SKH,259,2895000,potensial
136,april,RSUD CIBABAT,EXP CORPORATE,1,15500,tidak
137,april,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
138,april,BPJS KETENAGAKERJAAN,SKH,5,161200,tidak
139,april,KPP PRATAMA SOREANG,SKH,431,3603000,potensial
140,april,KPP PRATAMA CIMAHI,SKH,956,6848500,potensial
141,april,ULTRAJAYA MILK INDUSTRY,EXP CORPORATE,79,2914000,potensial
142,april,BALAI DIKLAT KEUANGAN,EXP CORPORATE,0,0,tidak
143,april,SINAR CONTINENTAL,EXP CORPORATE,50,1856500,potensial
144,april,FAMILY ONLINE SHOP,EXP CORPORATE,13,1684400,potensial
145,april,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,136,160388000,potensial
146,april,PERIJINAN PEMKAB BANDUNG,EXP CORPORATE,26,260000,tidak
147,april,COD BUNDA JAYA,EXP CORPORATE,48,3706495,potensial
148,april,WOM FINANCE,SKH,227,1461000,potensial
149,april,ADIRA DINAMIKA FINANCE,SKH,1,15000,tidak
150,april,MEGA FINANCE,SKH,0,0,tidak
151,april,BJB,SKH,0,0,tidak
152,april,SEVENTMM,EXP CORPORATE,1,18000,tidak
153,mei,BPJS KESEHATAN,SKH,299,2135500,potensial
154,mei,BLBI ABIYOSO,PPKH,1265,45222503,potensial
155,mei,BPKP JABAR,SKH,732,8340000,potensial
156,mei,RSUD CIBABAT,EXP CORPORATE,0,0,tidak
157,mei,PT ANUGRAH DWIJAYA LOG,LOGISTIK,0,0,tidak
158,mei,BPJS KETENAGAKERJAAN,SKH,280,252500,tidak
159,mei,KPP PRATAMA SOREANG,SKH,3108,24576001,potensial
160,mei,KPP PRATAMA CIMAHI,SKH,4340,27827201,potensial
161,mei,ULTRAJAYA MILK INDUSTRY,SKH,339,11759500,potensial
162,mei,BALAI DIKLAT KEUANGAN,EXP CORPORATE,0,0,tidak
163,mei,SINAR CONTINENTAL,EXP CORPORATE,67,1250000,tidak
164,mei,FAMILY ONLINE SHOP,EXP CORPORATE,19,2345424,tidak
165,mei,ATEJA TRITUNGGAL CORPORATION,LOGISTIK,228,305222000,potensial
166,mei,DINAS PERIJINAN BANDUNG BARAT,SKH,64,640000,tidak
167,mei,COD BUNDA JAYA,EXP CORPORATE,106,7845581,potensial
168,mei,WOM FINANCE,SKH,50,322000,tidak
